name;group_name;group_folder_path;target;tags
топвизор;топвизор;/;https://topvisor.com/ru/;2
topvisor;топвизор;/;https://topvisor.com/ru/;2
топвизор проверка позиций сайта;топвизор;/;https://topvisor.com/ru/;1,4,5
топвизор проверка позиций;топвизор;/;https://topvisor.com/ru/;4
проверка позиций сайта;проверка позиций сайта;/;https://topvisor.com/ru/rank-tracker/;2
проверить позиции сайта;проверка позиций сайта;/;https://topvisor.com/ru/rank-tracker/;2
проверить позиции;проверка позиций сайта;/;https://topvisor.com/ru/rank-tracker/;2
анализ сайта;анализ сайта;/;https://topvisor.com/ru/website-auditor/;2,6
анализ сайта онлайн;анализ сайта;/;https://topvisor.com/ru/website-auditor/;2
технический анализ сайта;анализ сайта;/;https://topvisor.com/ru/website-auditor/;1
анализ сайта проверка икс позиций сайта онлайн;анализ сайта;/;https://topvisor.com/ru/website-auditor/;4
проверка позиции сайта в яндексе по запросу;проверка позиции сайта в яндексе по запросу;/;;4
проверка позиций google;проверка позиции сайта в яндексе по запросу;/;;4
проверка позиций страницы сайта;проверка позиции сайта в яндексе по запросу;/;;2,6
проверка позиций сайта по регионам;проверка позиции сайта в яндексе по запросу;/;;1
проверка позиции группы;проверка позиции группы;/Инструменты/;;1
проверка позиций сайтов конкурентов;проверка позиции группы;/Инструменты/;https://topvisor.com/ru/support/rankings/tracker/competitors/;1
подбор слов;подбор слов;/Инструменты/;https://topvisor.com/ru/keyword-research/;2
подбор ключевых слов;подбор слов;/Инструменты/;https://topvisor.com/ru/keyword-research/;2
топвизор снимки выдачи;топвизор снимки выдачи;/Инструменты/;https://topvisor.com/ru/snapshots/;1
снимки выдачи;топвизор снимки выдачи;/Инструменты/;https://topvisor.com/ru/snapshots/;1,2,3
анализ конкурентов топвизор;топвизор снимки выдачи;/Инструменты/;https://topvisor.com/ru/snapshots/;4
апдейты яндекса;апдейты яндекса;/Другие инструменты/;;2
апдейт яндекса;апдейты яндекса;/Другие инструменты/;;2
апдейты яндекс;апдейты яндекса;/Другие инструменты/;;5
скрипт проверка позиций;скрипт проверка позиций;/Другие инструменты/;;1
скрипт проверки позиций сайта;скрипт проверка позиций;/Другие инструменты/;;1
реферальная программа топвизор;реферальная программа топвизор;/Другие инструменты/;https://topvisor.com/ru/affiliate-program/;4
партнерская программа топвизор;реферальная программа топвизор;/Другие инструменты/;https://topvisor.com/ru/affiliate-program/;4
сервис аналитики seo;сервис аналитика seo;/Другие инструменты/Общие запросы/;;4
сервис аналитика seo;сервис аналитика seo;/Другие инструменты/Общие запросы/;;4
сервис seo аналитика;сервис аналитика seo;/Другие инструменты/Общие запросы/;;4
